city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Chengguan,35.4599,113.7975,China,CN,Henan,minor,740435,740435
Zunhua,40.1881,117.9593,China,CN,Hebei,minor,737011,737011
Shuangqiao,35.0833,112.5833,China,CN,Henan,minor,733000,733000
Langzhong,31.5833,105.9720,China,CN,Sichuan,minor,728935,728935
Lingbao Chengguanzhen,34.5221,110.8786,China,CN,Henan,minor,721049,721049
Anlu,31.2575,113.6783,China,CN,Hubei,minor,720000,720000
Wusong,30.9333,117.7667,China,CN,Anhui,minor,720000,720000
Xichang,27.8983,102.2706,China,CN,Sichuan,minor,712434,712434
Chengxiang,31.4515,121.1043,China,CN,Jiangsu,minor,709500,709500
Dashiqiao,40.6328,122.5021,China,CN,Liaoning,minor,704891,704891
Changsha,22.3762,112.6877,China,CN,Guangdong,minor,699242,699242
Shishi,24.7355,118.6434,China,CN,Fujian,minor,693000,693000
Miluo Chengguanzhen,28.8049,113.0745,China,CN,Hunan,minor,692080,692080
Gaizhou,40.4019,122.3499,China,CN,Liaoning,minor,691595,691595
Leling,37.7333,117.2167,China,CN,Shandong,minor,689867,689867
Jianshe,34.2189,113.7693,China,CN,Henan,minor,687130,687130
Jingcheng,32.0058,120.2547,China,CN,Jiangsu,minor,684360,684360
Xigazê,29.2649,88.8799,China,CN,Tibet,minor,679771,679771
Shanhu,29.5908,120.8176,China,CN,Zhejiang,minor,679762,679762
Yatou,37.1653,122.4867,China,CN,Shandong,minor,670251,670251
Songyang,34.4161,113.0424,China,CN,Henan,minor,668592,668592
Qionghu,28.8417,112.3595,China,CN,Hunan,minor,667104,667104
Yanshi Chengguanzhen,34.7230,112.7796,China,CN,Henan,minor,666696,666696
Puyang Chengguanzhen,35.7004,114.9800,China,CN,Henan,minor,666322,666322
Wenchang,31.0540,116.9507,China,CN,Anhui,minor,664455,664455
Xiping,25.6005,103.8166,China,CN,Yunnan,minor,652604,652604
Guixi,28.2861,117.2083,China,CN,Jiangxi,minor,647240,647240
Wuxue,29.8518,115.5539,China,CN,Hubei,minor,644247,644247
Xinshi,31.0236,113.1079,China,CN,Hubei,minor,636776,636776
Jin’e,29.3395,105.2868,China,CN,Sichuan,minor,633210,633210
Xinxing,39.8734,124.1453,China,CN,Liaoning,minor,627475,627475
