,city,"Population at Year-end (10,000 persons)",Natural growth rate (‰),"Number of employees at the end of the year (10,000 Persons)","Number of the registered unemployed at the end of year (10,000 Persons)",Average annual salary per urban employee (Yuan),"Number of average employees on site (10,000 persons)",Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GDP,"Total retail sales of social consumer goods (10,000 Yuan)","Government expenditure on Science (10,000 yuan)","Government expenditure on Education (10,000 yuan)",Number of secondary schools,Number of theaters,Number of collections of public library (/100 people),Number of persons joining urban basic medical care system,Persons covered of unemployment insurance,"Population (registered residence population) at the end of the year (10,000)","Number of male population (registered residence population) at the end of the year (10,000)","Number of female population (registered residence population) at the end of the year (10,000)"
73,台州市,600.7180000000001,5.1659999999999995,99.77329999999999,23965.0,65074.00600000001,88.136,634.415,66180.6,44.7475,49.05499999999999,20177496.8,137451.8,1096206.4,267.8,47.0,53.66,1501468.4,990188.6,600.704,307.12334,293.61696
74,丽水市,267.816,5.7299999999999995,18.54618,9556.6,84847.398,17.363999999999997,153.675,55696.8,45.017500000000005,47.144999999999996,5772277.4,65995.6,578751.6,96.6,21.0,66.13,832914.6,228582.2,267.908,137.87921999999998,130.02781999999996
75,衢州市,257.01599999999996,4.584,20.406920000000003,12698.4,85737.226,16.607999999999997,289.245,56810.8,46.72,46.445,6118857.2,80727.0,434406.6,95.8,14.0,57.8,993027.2,276007.6,256.954,131.39492,125.64850000000001
76,宁波市,592.274,2.6260000000000003,160.50172,67200.0,84580.526,136.66,596.36,113590.0,51.51,45.11,36424057.2,567611.6,1973653.8,295.4,90.0,120.84,4066795.0,2618648.2,592.252,293.98866000000004,298.25172000000003
77,宣城市,279.75,2.036,17.34176,10267.4,63027.924,15.254,227.335,41921.6,49.075,39.004999999999995,4652947.8,99118.8,383167.2,154.2,14.0,28.384999999999998,414073.2,149693.4,279.826,144.546,135.37
78,宿州市,651.762,8.662,119.43401999999999,11214.6,50912.612,28.288,650.125,24478.6,38.665,41.515,4667349.0,38548.6,612324.2,247.2,4.0,9.54,440131.0,202769.0,651.568,338.28200000000004,313.3
79,滁州市,452.13199999999995,7.045999999999999,25.27636,14702.8,61887.880000000005,24.874000000000002,332.42499999999995,36402.6,52.042500000000004,32.2825,5184000.8,80221.0,559308.6,270.8,15.0,18.655,560316.0,226283.6,452.13199999999995,234.76,217.39000000000001
80,池州市,161.642,4.538,10.83632,6905.4,56797.702000000005,10.209999999999999,193.54,41048.6,44.835,42.8575,2201289.8,18519.6,199003.6,99.0,7.0,26.875,143950.6,76569.2,161.76000000000002,82.754,79.088
81,阜阳市,1059.41,12.264,34.32676,8486.4,52618.832500000004,32.78,1053.175,18038.2,41.2175,37.505,7693419.0,41987.8,892084.8,435.2,13.0,5.825,468201.4,255305.6,1059.41,552.7839999999999,506.5200000000001
82,六安市,640.446,8.638000000000002,97.64706,15443.0,59189.138,20.094,390.92,23034.0,44.6075,37.6425,5613880.0,62036.8,683711.8,365.4,13.0,9.42,509259.6,185244.6,640.4000000000001,323.91999999999996,289.12
83,合肥市,732.304,9.739999999999998,154.315,176493.6,72602.88399999999,134.558,625.0799999999999,81371.0,51.182500000000005,44.475,24002697.6,659171.0,1304910.0,356.6,49.0,66.16,2150476.8,1336439.4,732.2479999999999,377.822,354.396
84,蚌埠市,378.49,13.39,26.98412,27183.4,56820.291999999994,20.926,627.71,42511.8,47.0675,38.655,6539573.4,111111.0,473819.2,172.4,12.0,31.695,601679.8,223175.0,378.528,196.25799999999998,182.17400000000004
85,淮南市,331.71999999999997,10.67,30.652319999999996,24728.2,67093.674,28.786,946.885,30155.2,49.8125,39.1225,5004952.4,30482.4,341506.4,165.2,6.0,18.415,677800.2,304246.0,331.564,188.222,170.792
86,铜陵市,132.12,4.31,17.04484,9566.0,62602.909999999996,16.05,615.235,71999.8,62.69,33.2725,2950854.2,75831.6,207048.8,68.0,7.0,98.9,419933.0,176680.6,132.096,77.596,73.792
87,马鞍山市,228.54000000000002,4.032,23.7012,21355.25,67635.628,22.509999999999998,563.385,68826.0,56.9975,37.5675,4764224.4,93227.0,321443.2,104.6,4.0,50.3,593409.2,256911.2,228.632,117.88400000000001,110.928
88,淮北市,216.76,11.314,22.78546,19665.8,57895.59199999999,22.098,788.5799999999999,38486.0,58.167500000000004,34.39,2993199.4,13228.4,241263.0,124.2,5.0,40.725,552935.6,255204.8,216.72200000000004,111.19200000000001,105.436
89,芜湖市,386.858,4.524,46.34534000000001,17197.2,62305.246,42.489999999999995,638.49,74777.8,57.32,37.9925,8347898.6,478077.0,629435.2,210.2,9.0,47.555,925570.4,410604.2,386.758,199.598,187.08
90,安庆市,566.2,5.4,34.97592,14984.6,54724.516,32.194,403.48,34243.8,50.120000000000005,37.4225,6938548.2,82705.4,667724.6,333.4,25.0,25.155,635878.0,256178.0,566.188,282.86600000000004,264.014
91,黄山市,148.078,3.882,11.53384,5565.2,61433.988,10.552000000000001,151.76,42167.0,39.9575,50.2125,3147817.4,45014.0,172262.8,118.4,14.0,60.065,240581.4,99902.6,148.086,75.85600000000001,72.312
92,亳州市,644.87,9.914,24.06712,7859.2,52343.68,21.253999999999998,744.835,20816.6,39.085,41.192499999999995,4871120.4,35099.0,510944.4,287.4,10.0,15.09,349570.6,154908.6,644.79,339.662,305.09000000000003
93,福州市,687.2520000000001,10.012,159.05486000000002,33829.4,69450.812,139.126,525.7349999999999,82385.5,42.92249999999999,49.57,38350311.4,158764.6,1461191.0,319.4,36.0,120.29499999999999,1835481.2,1188630.2,687.184,351.6139999999999,335.662
